Branch Code,Branch Name,Product Type,Product Name,Scheme Name,Customer Id,Application ID,Application Type,Channel
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000118535,APHL000000096555,New Application,DIRECT
666,ALWAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000170540,APHL000000123324,New Application,Connector
629,PITHAMPUR HL,Home Loan,HOME LOAN,Under Construction - Builder Purchase,GLBCUST00000148523,APHL000000110838,New Application,Connector
647,SANGRUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147260,APHL000000110592,New Application,DIRECT
625,LUDHIANA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000133621,APHL000000103438,New Application,Connector
622,AGRA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000113436,APHL000000092878,New Application,DIRECT
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000126008,APHL000000099147,New Application,DIRECT
593,KHARGONE HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000113319,APHL000000094037,New Application,DIRECT
620,DURGAPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000171327,APHL000000124076,New Application,Connector
625,LUDHIANA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000140204,APHL000000107067,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Under Construction - Builder Purchase,GLBCUST00000106783,APHL000000089988,New Application,DIRECT
698,MADURAI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000143007,APHL000000108224,New Application,Connector
197,BHOPAL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000147705,APHL000000109121,New Application,Connector
523,TIRUNELVELI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000183672,APHL000000129794,New Application,DIRECT
127,SALEM,Home Loan,HOME LOAN,Self Construction,GLBCUST00000143670,APHL000000108612,New Application,Connector
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000152022,APHL000000110556,New Application,DIRECT
661,DHAMNOD HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153101,APHL000000112414,New Application,Connector
40,BATHINDA,Home Loan,HOME LOAN,Self Construction,GLBCUST00000190683,APHL000000133556,New Application,Connector
668,RAJAHMUNDRY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000188327,APHL000000128463,New Application,Connector
639,BADNAGAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000142987,APHL000000108132,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000146291,APHL000000110161,New Application,DIRECT
600,AGAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147417,APHL000000110764,New Application,DIRECT
623,RO JAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000185114,APHL000000130857,New Application,Connector
603,Ayodhya HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000144798,APHL000000108531,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147801,APHL000000110849,New Application,DIRECT
623,RO JAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000169417,APHL000000122578,New Application,Connector
474,SHUJALPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000193055,APHL000000135265,New Application,DIRECT
595,JALANDHAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000192411,APHL000000132542,New Application,Connector
607,SHIVAMOGGA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147969,APHL000000110434,New Application,DIRECT
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000145282,APHL000000109624,New Application,Connector
683,LBS ALLAHABAD,Home Loan,HOME LOAN,Self Construction,GLBCUST00000181770,APHL000000122234,New Application,DIRECT
596,KANPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000144867,APHL000000108476,New Application,DIRECT
561,NAGERKOIL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150229,APHL000000112306,New Application,DIRECT
647,SANGRUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000146922,APHL000000110579,New Application,Connector
592,GWALIOR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000119124,APHL000000096302,New Application,DSA
575,Tiruvanamalai HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000117312,APHL000000096057,New Application,DIRECT
669,ALIGARH HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000180105,APHL000000127118,New Application,Connector
622,AGRA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000192076,APHL000000133016,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000140850,APHL000000106943,New Application,DIRECT
129,DAVANGERE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149410,APHL000000111627,New Application,DIRECT
199,KOTA,Home Loan,HOME LOAN,Self Construction,GLBCUST00000136398,APHL000000105243,New Application,DIRECT
655,SITAPUR HL,Loan Against Property,LOAN AGAINST PROPERTY - HFC,BT LAP,GLBCUST00000180157,APHL000000125399,Balance Transfer with Top-up,DIRECT
622,AGRA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000186963,APHL000000131505,New Application,DIRECT
593,KHARGONE HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000117367,APHL000000096026,New Application,Connector
615,INDORE HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000109076,APHL000000090805,New Application,DSA
698,MADURAI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000141016,APHL000000107291,New Application,DIRECT
489,MEHSANA,Home Loan,HOME LOAN,Ready - Builder Purchase,GLBCUST00000182847,APHL000000127865,New Application,Connector
595,JALANDHAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148079,APHL000000110841,New Application,Connector
636,VILLUPURAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000115507,APHL000000094460,New Application,DIRECT
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000169800,APHL000000118096,New Application,DIRECT
613,JABALPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000192220,APHL000000133945,New Application,Connector
660,RAEBARELI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000189657,APHL000000133526,New Application,Connector
98,AJMER,Home Loan,HOME LOAN,Resale Purchase,GLBCUST00000104640,APHL000000088537,New Application,DIRECT
630,LUCKNOW HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109450,APHL000000091670,New Application,DIRECT
613,JABALPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000189432,APHL000000131429,New Application,Connector
655,SITAPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150459,APHL000000112111,New Application,Connector
605,MEERUT HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000140442,APHL000000106937,New Application,DIRECT
274,MANDSAUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000193398,APHL000000134302,New Application,DIRECT
643,RISHIKESH HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000113711,APHL000000092354,New Application,DIRECT
127,SALEM,Home Loan,HOME LOAN,Self Construction,GLBCUST00000117106,APHL000000095947,New Application,DIRECT
630,LUCKNOW HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000114308,APHL000000094485,New Application,DIRECT
628,NAGPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150659,APHL000000111767,New Application,Connector
615,INDORE HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000133993,APHL000000103780,New Application,Connector
622,AGRA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000110677,APHL000000091680,New Application,DIRECT
594,AHMEDNAGAR HL,Home Loan,HOME LOAN,Under Construction - Builder Purchase,GLBCUST00000100675,APHL000000085458,New Application,DSA
622,AGRA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149895,APHL000000111785,New Application,DIRECT
53,VIJAYAWADA,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150213,APHL000000112290,New Application,DIRECT
668,RAJAHMUNDRY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000136942,APHL000000105413,New Application,Connector
401,MATHURA,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000190329,APHL000000132295,New Application,Connector
630,LUCKNOW HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000117524,APHL000000096014,New Application,Connector
615,INDORE HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000149585,APHL000000111975,New Application,DIRECT
572,Neemuch HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000152217,APHL000000112118,New Application,DIRECT
634,CHANDIGARH HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000135388,APHL000000104713,New Application,DIRECT
650,BHUBANESHWAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000141173,APHL000000105913,New Application,Connector
584,PANIPAT HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147723,APHL000000110927,New Application,DIRECT
566,SANGAREDDY,Home Loan,HOME LOAN,Self Construction,GLBCUST00000113524,APHL000000094045,New Application,DSA
173,HARIDWAR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000189133,APHL000000130799,New Application,Connector
127,SALEM,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153135,APHL000000113651,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000113473,APHL000000088968,New Application,DIRECT
415,RATLAM,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149798,APHL000000112107,New Application,DIRECT
595,JALANDHAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148065,APHL000000110935,New Application,Connector
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000151541,APHL000000113094,New Application,DIRECT
663,VIZIANAGARAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150584,APHL000000112330,New Application,Connector
601,AKOLA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000117349,APHL000000093305,New Application,DIRECT
573,Sanawad HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000114085,APHL000000094357,New Application,DIRECT
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150667,APHL000000110845,New Application,DIRECT
614,ASHTA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000127091,APHL000000112916,New Application,DIRECT
274,MANDSAUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153371,APHL000000112453,New Application,DIRECT
611,GANDHIDHAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109316,APHL000000091482,New Application,DIRECT
494,THENI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000120536,APHL000000096944,New Application,Connector
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000112388,APHL000000093647,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000108515,APHL000000089056,New Application,DIRECT
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000144139,APHL000000106404,New Application,DIRECT
572,Neemuch HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000138740,APHL000000105778,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000151729,APHL000000113178,New Application,DIRECT
494,THENI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000187649,APHL000000132622,New Application,DIRECT
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147434,APHL000000110156,New Application,DIRECT
523,TIRUNELVELI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150109,APHL000000112173,New Application,DIRECT
619,RAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000186054,APHL000000132233,New Application,Connector
564,SURYAPET,Home Loan,HOME LOAN,Self Construction,GLBCUST00000108676,APHL000000089924,New Application,DIRECT
622,AGRA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148285,APHL000000110919,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000112667,APHL000000093847,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000173048,APHL000000123126,New Application,Connector
667,BHILWARA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000102937,APHL000000087155,New Application,Connector
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150895,APHL000000112117,New Application,DIRECT
615,INDORE HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000118082,APHL000000095852,New Application,DIRECT
494,THENI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000118883,APHL000000096254,New Application,Connector
640,BADWANI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000119782,APHL000000096287,New Application,Connector
622,AGRA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000148061,APHL000000107418,New Application,Connector
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000110631,APHL000000091696,New Application,DIRECT
591,GUNA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000120911,APHL000000089786,New Application,DIRECT
667,BHILWARA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000151384,APHL000000111981,New Application,Connector
54,VISHAKHAPATNAM,Home Loan,HOME LOAN,Ready - Builder Purchase,GLBCUST00000115603,APHL000000093201,New Application,Connector
55,VARANASI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000135150,APHL000000104133,New Application,Connector
623,RO JAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149719,APHL000000111866,New Application,Connector
655,SITAPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000136741,APHL000000102917,New Application,DIRECT
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149887,APHL000000112139,New Application,DIRECT
698,MADURAI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149170,APHL000000111695,New Application,DIRECT
595,JALANDHAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000114245,APHL000000092399,New Application,DIRECT
572,Neemuch HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148942,APHL000000110100,New Application,DIRECT
623,RO JAIPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000151797,APHL000000113134,New Application,Connector
62,JODHPUR,Home Loan,HOME LOAN,Balance Transfer - Home Loan,GLBCUST00000145194,APHL000000108865,Balance Transfer with Top-up,Connector
129,DAVANGERE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000119914,APHL000000095362,New Application,DIRECT
626,VADODARA HL,Home Loan,HOME LOAN,Ready - Builder Purchase,GLBCUST00000115857,APHL000000094379,New Application,DSA
494,THENI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000187667,APHL000000131694,New Application,DIRECT
654,JHANSI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000120440,APHL000000094762,New Application,DIRECT
62,JODHPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000120093,APHL000000096097,New Application,DIRECT
412,DHAR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000138430,APHL000000103578,New Application,DIRECT
55,VARANASI,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000152479,APHL000000111578,New Application,Connector
661,DHAMNOD HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153762,APHL000000107862,New Application,DIRECT
623,RO JAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150052,APHL000000112219,New Application,Connector
672,BANASWADI,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000152885,APHL000000113523,New Application,Connector
591,GUNA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154296,APHL000000113901,New Application,Connector
615,INDORE HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000151007,APHL000000112753,New Application,Connector
235,KALYAN,Home Loan,HOME LOAN,Ready - Builder Purchase,GLBCUST00000145254,APHL000000108796,New Application,Connector
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000152033,APHL000000113129,New Application,DIRECT
654,JHANSI HL,Home Loan,HOME LOAN,Extension,GLBCUST00000143787,APHL000000107235,New Application,DIRECT
668,RAJAHMUNDRY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000115005,APHL000000094574,New Application,Connector
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148302,APHL000000110651,New Application,DIRECT
630,LUCKNOW HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148799,APHL000000111530,New Application,DIRECT
34,DEHRADUN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000172817,APHL000000125099,New Application,DIRECT
640,BADWANI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000114322,APHL000000094666,New Application,DIRECT
615,INDORE HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000152339,APHL000000112631,New Application,DIRECT
591,GUNA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148919,APHL000000111550,New Application,DIRECT
625,LUDHIANA HL,Home Loan,HOME LOAN,Resale Purchase,GLBCUST00000144833,APHL000000109016,New Application,DIRECT
669,ALIGARH HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149776,APHL000000109334,New Application,DIRECT
540,SAHARANPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109871,APHL000000091233,New Application,DSA
559,LAXMI NAGAR - NEW DELHI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154294,APHL000000113032,New Application,Connector
660,RAEBARELI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000190548,APHL000000133985,New Application,Connector
574,Bolpur HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000137159,APHL000000105621,New Application,DIRECT
55,VARANASI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000114370,APHL000000094106,New Application,Connector
62,JODHPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150874,APHL000000112411,New Application,Connector
566,SANGAREDDY,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149024,APHL000000110789,New Application,Connector
622,AGRA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000152680,APHL000000112332,New Application,Connector
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153854,APHL000000114059,New Application,DIRECT
639,BADNAGAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153724,APHL000000113827,New Application,DIRECT
274,MANDSAUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000120832,APHL000000096677,New Application,DIRECT
173,HARIDWAR,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000154565,APHL000000107240,New Application,DIRECT
625,LUDHIANA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150918,APHL000000112328,New Application,DIRECT
53,VIJAYAWADA,Home Loan,HOME LOAN,Self Construction,GLBCUST00000188113,APHL000000132768,New Application,Connector
557,RUDRAPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000196568,APHL000000136995,New Application,Connector
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000137679,APHL000000105383,New Application,DIRECT
597,TRICHY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153967,APHL000000113955,New Application,DIRECT
118,COIMBATORE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000155684,APHL000000115061,New Application,DIRECT
625,LUDHIANA HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000109848,APHL000000091011,New Application,DIRECT
594,AHMEDNAGAR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000158872,APHL000000110987,New Application,DIRECT
645,DUNLOP KOLKATA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148056,APHL000000111228,New Application,DIRECT
597,TRICHY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154212,APHL000000114093,New Application,Connector
580,BHILAI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153570,APHL000000113792,New Application,DIRECT
601,AKOLA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000112748,APHL000000091159,New Application,DIRECT
660,RAEBARELI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000155334,APHL000000114736,New Application,Connector
98,AJMER,Home Loan,HOME LOAN,Renovation,GLBCUST00000153308,APHL000000113617,New Application,DIRECT
596,KANPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000144370,APHL000000108018,New Application,DIRECT
636,VILLUPURAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000156032,APHL000000110939,New Application,Connector
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000127902,APHL000000101171,New Application,DIRECT
620,DURGAPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000188620,APHL000000133081,New Application,DIRECT
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000115532,APHL000000094883,New Application,DIRECT
606,DAUSA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000139666,APHL000000106617,New Application,DIRECT
564,SURYAPET,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154726,APHL000000114520,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000135826,APHL000000102989,New Application,DIRECT
661,DHAMNOD HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000155098,APHL000000114582,New Application,DIRECT
659,NOIDA HL,Loan Against Property,LOAN AGAINST PROPERTY - HFC,BT LAP,GLBCUST00000191604,APHL000000132626,Balance Transfer with Top-up,DIRECT
568,Khandwa,Home Loan,HOME LOAN,Self Construction,GLBCUST00000156235,APHL000000115584,New Application,DIRECT
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000117728,APHL000000095488,New Application,DIRECT
118,COIMBATORE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109276,APHL000000091062,New Application,DIRECT
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000111893,APHL000000089921,New Application,DIRECT
34,DEHRADUN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000153551,APHL000000111825,New Application,DIRECT
55,VARANASI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154218,APHL000000114112,New Application,Connector
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000119072,APHL000000096520,New Application,DSA
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000155451,APHL000000113107,New Application,DIRECT
636,VILLUPURAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000177264,APHL000000126898,New Application,Connector
623,RO JAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000132563,APHL000000102992,New Application,DIRECT
523,TIRUNELVELI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000184130,APHL000000128229,New Application,DIRECT
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000154095,APHL000000114101,New Application,Connector
55,VARANASI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000114711,APHL000000092845,New Application,Connector
658,FIROZABAD HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000145216,APHL000000108800,New Application,DIRECT
621,SILIGURI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150079,APHL000000112006,New Application,Connector
660,RAEBARELI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000144059,APHL000000108832,New Application,Connector
98,AJMER,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000114721,APHL000000094810,New Application,Connector
625,LUDHIANA HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150201,APHL000000112305,New Application,DIRECT
608,HUBLI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000155506,APHL000000115119,New Application,Connector
584,PANIPAT HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000138879,APHL000000105920,New Application,DIRECT
523,TIRUNELVELI,Home Loan,HOME LOAN,Self Construction,GLBCUST00000144733,APHL000000109157,New Application,DIRECT
